,word,translation,meaning
624,rok,skirt,"{'Noun': ['cloth covering that forms the part of a garment below the waist', 'a garment hanging from the waist; worn mainly by girls and women', '(Fungi', 'informal terms for a (young'], 'Verb': ['avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues', 'pass around or about; move along the border', 'form the edge of', 'extend on all sides of simultaneously; encircle']}"
625,rol,role,"{'Noun': ['the actions and activities assigned to or required or expected of a person or group', ""an actor's portrayal of someone in a play"", 'what something is used for', 'normal or customary activity of a person in a particular social setting']}"
626,ros,steed,{'Noun': ['(literary']}
627,rot,rotten,"{'Adjective': ['very bad', 'damaged by decay; hence unsound and useless', 'having decayed or disintegrated; usually implies foulness']}"
628,rug,back,"{'Noun': ['the posterior part of a human (or animal', 'the side that goes last or is not normally seen', 'the part of something that is furthest from the normal viewer', '(football', 'the series of vertebrae forming the axis of the skeleton and protecting the spinal cord', 'the protective covering on the front, back, and spine of a book', 'the part of a garment that covers the back of your body', 'a support that you can lean against while sitting', '(American football'], 'Verb': ['be behind; approve of', 'travel backward', ""give support or one's approval to"", 'cause to travel backward', 'support financial backing for', 'be in back of', 'place a bet on', 'shift to a counterclockwise direction', 'establish as valid or genuine', 'strengthen by providing with a back or backing'], 'Adjective': ['related to or located at the back', 'located at or near the back of an animal', 'or hind', 'of an earlier date'], 'Adverb': ['in or to or toward a former location', 'at or to or toward the back or rear', 'in or to or toward an original condition', 'in or to or toward a past time', 'in reply', 'in repayment or retaliation']}"
629,rui,moulting,"{'Noun': ['periodic shedding of the cuticle in arthropods or the outer skin in reptiles'], 'Verb': ['cast off hair, skin, horn, or feathers']}"
630,ruk,jerk,"{'Noun': ['a dull stupid fatuous person', 'an abrupt spasmodic movement', '(mechanics', 'meat (especially beef', 'raising a weight from shoulder height to above the head by straightening the arms', 'a sudden abrupt pull'], 'Verb': ['pull, or move with a sudden movement', 'move with abrupt, seemingly uncontrolled motions', 'make an uncontrolled, short, jerky motion', 'jump vertically, with legs stiff and back arched', 'throw or toss with a quick motion']}"
631,rul,loose,"{'Verb': ['grant freedom to; free from confinement', 'turn loose or free from restraint', 'make loose or looser', 'become loose or looser or less tight'], 'Adjective': ['not compact or dense in structure or arrangement', '(of a ball in sport', 'not tight; not closely constrained or constricted or constricting', 'not officially recognized or controlled', 'not literal', 'emptying easily or excessively', 'not affixed', 'not tense or taut', '(of textures', 'lacking a sense of restraint or responsibility', 'not carefully arranged in a package', 'having escaped, especially from confinement', 'casual and unrestrained in sexual behavior', 'or light'], 'Adverb': ['without restraint']}"
632,rum,rum,"{'Noun': ['liquor distilled from fermented molasses', 'a card game based on collecting sets and sequences; the winner is the first to meld all their cards'], 'Adjective': ['beyond or deviating from the usual or expected']}"
633,run,run,"{'Noun': ['a score in baseball made by a runner touching all four bases safely', 'the act of testing something', 'a race run on foot', 'an unbroken series of events', '(American football', 'a regular trip', 'the act of running; traveling on foot at a fast pace', 'the continuous period of time during which something (a machine or a factory', 'unrestricted freedom to use', 'the production achieved during a continuous period of operation (of a machine or factory etc.', 'a small stream', 'a race between candidates for elective office', 'a row of unravelled stitches', 'the pouring forth of a fluid', 'an unbroken chronological sequence', 'a short trip'], 'Verb': [""move fast by using one's feet, with one foot off the ground at any given time"", ""flee; take to one's heels; cut and run"", 'stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point', 'direct or control; projects, businesses, etc.', 'have a particular form', 'move along, of liquids', 'perform as expected when applied', 'change or be different within limits', 'run, stand, or compete for an office or a position', 'cause to emit recorded audio or video', 'move about freely and without restraint, or act as if running around in an uncontrolled way', 'have a tendency or disposition to do or be something; be inclined', 'be operating, running or functioning', 'change from one state to another', 'cause to perform', 'be affected by; be subjected to', 'continue to exist', 'occur persistently', 'carry out a process or program, as on a computer or a machine', 'include as the content; broadcast or publicize', 'carry out', 'pass over, across, or through', 'cause something to pass or lead somewhere', 'make without a miss', 'deal in illegally, such as arms or liquor', 'cause an animal to move fast', 'be diffused', 'sail before the wind', 'cover by running; run a certain distance', 'extend or continue for a certain period of time', 'set animals loose to graze', 'keep company', 'run with the ball; in such sports as football', 'travel rapidly, by any (unspecified', 'travel a route regularly', 'pursue for food or sport (as of wild animals', 'compete in a race', 'progress by being changed', 'reduce or cause to be reduced from a solid to a liquid state, usually by heating', 'come unraveled or undone as if by snagging', 'become undone']}"
634,rus,rus,{'Noun': ['the medieval Russian state established by Scandinavian traders in the 9th century; the capital was first in Novgorod and then in Kiev']}
635,ruw,rough,"{'Noun': ['the part of a golf course bordering the fairway where the grass is not cut short'], 'Verb': ['prepare in preliminary or sketchy form'], 'Adjective': ['having or caused by an irregular surface', '(of persons or behavior', 'not quite exact or correct', 'full of hardship or trials', 'violently agitated and turbulent', 'unpleasantly harsh or grating in sound', 'ready and able to resort to force or violence', 'of the margin of a leaf shape; having the edge cut or fringed or scalloped', 'causing or characterized by jolts and irregular movements', 'not shaped by cutting or trimming', 'not carefully or expertly made', 'not perfected', 'unpleasantly stern', 'unkind or cruel or uncivil'], 'Adverb': [""with roughness or violence (`rough' is an informal variant for `roughly'"", 'with rough motion as over a rough surface']}"
636,sa,sa,"{'Noun': ['Nazi militia created by Hitler in 1921 that helped him to power but was eclipsed by the SS after 1943', 'a male human offspring', 'the divine word of God; the second person in the Trinity (incarnate in Jesus', 'a quantity of money', 'a quantity obtained by the addition of a group of numbers', 'the final aggregate', 'the choicest or most essential or most vital part of some idea or experience', 'the whole amount', 'a set containing all and only the members of two or more given sets']}"
637,sak,sak,
638,sap,juice,"{'Noun': ['the liquid part that can be extracted from plant or animal tissue by squeezing or cooking', 'energetic vitality', 'electric current', 'any of several liquids of the body']}"
639,sar,sar,
640,sas,sas,"{'Noun': ['Nazi militia created by Hitler in 1921 that helped him to power but was eclipsed by the SS after 1943', 'a specialist regiment of the British army that is trained in commando techniques of warfare and used in clandestine operations (especially against terrorist groups']}"
641,sax,sax,"{'Noun': ['a Belgian maker of musical instruments who invented the saxophone (1814-1894', 'a single-reed woodwind with a conical bore']}"
642,se,se,"{'Noun': ['a toxic nonmetallic element related to sulfur and tellurium; occurs in several allotropic forms; a stable grey metallike allotrope conducts electricity better in the light than in the dark and is used in photocells; occurs in sulfide ores (as pyrite', 'the compass point midway between south and east; at 135 degrees']}"
643,sec,sec,"{'Noun': [""1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites"", 'ratio of the hypotenuse to the adjacent side of a right-angled triangle', 'an independent federal agency that oversees the exchange of securities to protect investors'], 'Adjective': ['(of champagne']}"
644,set,set,"{'Noun': ['a group of things of the same kind that belong together and are so used', '(mathematics', 'several exercises intended to be done in series', 'representation consisting of the scenery and other properties used to identify the location of a dramatic production', 'an unofficial association of people or groups', 'a relatively permanent inclination to react in a particular way', 'the act of putting something in position', 'a unit of play in tennis or squash', 'the process of becoming hard or solid by cooling or drying or crystallization', 'evil Egyptian god with the head of a beast that has high square ears and a long snout; brother and murderer of Osiris', 'the descent of a heavenly body below the horizon', '(psychology', 'any electronic equipment that receives or transmits radio or tv signals'], 'Verb': ['put into a certain place or abstract location', 'fix conclusively or authoritatively', 'decide upon or fix definitely', 'establish as the highest level or best performance', 'put into a certain state; cause to be in a certain state', 'fix in a border', 'make ready or suitable or equip in advance for a particular purpose or for some use, event, etc', 'set to a certain position or cause to operate correctly', 'locate', 'disappear beyond the horizon', 'adapt for performance in a different way', 'put or set (seeds, seedlings, or plants', 'apply or start', 'become gelatinous', 'set in type', 'put into a position that will restore a normal state', 'insert (a nail or screw below the surface, as into a countersink', 'give a fine, sharp edge to a knife or razor', 'urge to attack someone', 'estimate', 'equip with sails or masts', 'get ready for a particular purpose or event', 'alter or regulate so as to achieve accuracy or conform to a standard', 'bear fruit', 'arrange attractively'], 'Adjective': [""(usually followed by `to' or `for'"", 'fixed and unmoving', 'situated in a particular spot or position', 'set down according to a plan', 'being below the horizon', 'determined or decided upon as by an authority', 'converted to solid form (as concrete']}"
645,sf,sf,
646,sic,sic,"{'Verb': ['urge to attack someone'], 'Adverb': ['intentionally so written (used after a printed word or phrase']}"
647,sik,goatee,"{'Noun': [""a small chin beard trimmed to a point; named for its resemblance to a goat's beard""]}"
648,sim,sim,
649,sip,glum,"{'Adjective': ['moody and melancholic', 'showing a brooding ill humor']}"
650,sis,sis,"{'Noun': [""a tetravalent nonmetallic element; next to oxygen it is the most abundant element in the earth's crust; occurs in clay and feldspar and granite and quartz and sand; used as a semiconductor in transistors"", 'a complete metric system of units of measurement for scientists; fundamental quantities are length (meter', 'kilogram', 'second', 'ampere', 'kelvin', 'candela', 'the syllable naming the seventh (subtonic', 'a female person who has the same parents as another person']}"
651,ska,ska,
652,ski,ski,"{'Noun': ['narrow wood or metal or plastic runners used in pairs for gliding over snow'], 'Verb': ['move along on skis']}"
653,sla,lettuce,"{'Noun': ['informal terms for money', 'any of various plants of the genus Lactuca', 'leaves of any of various plants of Lactuca sativa']}"
654,sm,sm,"{'Noun': ['a grey lustrous metallic element of the rare earth group; is used in special alloys; occurs in monazite and bastnasite', ""a master's degree in science""]}"
655,sms,text message,
656,soa,STD,"{'Noun': ['a communicable infection transmitted by sexual intercourse or genital contact', ""a doctor's degree in theology""]}"
657,sof,sof,
658,sok,sock,"{'Noun': ['hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee', 'a truncated cloth cone mounted on a mast; used (e.g., at airports'], 'Verb': ['hit hard']}"
659,sol,Sol,"{'Noun': ['a colloid that has a continuous liquid phase in which a solid is suspended in a liquid', '(Roman mythology', 'the syllable naming the fifth (dominant']}"
660,som,sum,"{'Noun': ['a quantity of money', 'a quantity obtained by the addition of a group of numbers', 'the final aggregate', 'the choicest or most essential or most vital part of some idea or experience', 'the whole amount', 'a set containing all and only the members of two or more given sets'], 'Verb': ['be a summary of', 'determine the sum of']}"
661,sop,suds,"{'Noun': ['the froth produced by soaps or detergents', 'a dysphemism for beer (especially for lager that effervesces'], 'Verb': ['wash in suds', 'make froth or foam and become bubbly']}"
662,sou,sou,{'Noun': ['a former French coin of low denomination; often used of any small amount of money']}
663,spa,spa,"{'Noun': ['a health resort near a spring or at the seaside', 'a fashionable hotel usually in a resort area', 'a place of business with equipment and facilities for exercising and improving physical fitness']}"
664,spe,spe,
665,sta,stand,"{'Noun': ['a support or foundation', 'the position where a thing or person stands', 'a growth of similar plants (usually trees', 'a small table for holding articles of various kinds', 'a support for displaying various articles', 'an interruption of normal activity', 'a mental position from which things are viewed', 'a booth where articles are displayed for sale', 'a stop made by a touring musical or theatrical group to give a performance', 'tiered seats consisting of a structure (often made of wood', 'game or parade', 'a platform where a (brass', 'a defensive effort'], 'Verb': ['be standing; be upright', 'be in some specified state or condition', 'occupy a place or location, also metaphorically', ""hold one's ground; maintain a position; be steadfast or upright"", 'put up with something or somebody unpleasant', 'have or maintain a position or stand on an issue', 'remain inactive or immobile', 'be in effect; be or remain in force', 'be tall; have a height of; copula', 'put into an upright position', 'withstand the force of something', 'be available for stud services']}"
666,sub,sub,"{'Noun': ['a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments', 'a submersible warship usually armed with torpedoes'], 'Verb': ['be a substitute']}"
667,suf,drowsy,"{'Adjective': ['half asleep', 'or dozing', 'or napping', 'showing lack of attention or boredom']}"
668,sul,sul,
669,sus,sus,{'Noun': ['type genus of the Suidae']}
670,tab,tab,"{'Noun': ['the bill in a restaurant', 'sensationalist journalism', 'the key on a typewriter or a word processor that causes a tabulation', 'a short strip of material attached to or projecting from something in order to facilitate opening or identifying or handling it', 'a dose of medicine in the form of a small pellet']}"
671,tag,tag,"{'Noun': ['a label written or printed on paper, cardboard, or plastic that is attached to something to indicate its owner, nature, price, etc.', 'a label associated with something for the purpose of identification', 'a small piece of cloth or paper', 'a game in which one child chases the others; the one who is caught becomes the next chaser', '(sports', 'which changes their status in the game'], 'Verb': ['attach a tag or label to', 'touch a player while he is holding the ball', 'provide with a name or nickname', 'go after with the intent to catch', 'supply (blank verse or prose']}"
672,tai,tai,"{'Noun': ['a native or inhabitant of Thailand', 'the most widespread and best known of the Kadai family of languages'], 'Adjective': ['of or relating to or characteristic of Thailand or its people', 'of or relating to the languages of the Thai people', 'of or relating to Thailand']}"
673,tak,branch,"{'Noun': ['a division of some larger or more complex organization', 'a division of a stem, or secondary stem arising from the main stem of a plant', 'a part of a forked or branching shape', 'a natural consequence of development', 'a stream or river connected to a larger one', 'any projection that is thought to resemble a human arm'], 'Verb': ['grow and send out branches or branch-like structures', 'divide into two or more branches so as to form a fork']}"
674,tal,numerous,{'Adjective': ['amounting to a large indefinite number']}
675,tam,tame,"{'Verb': ['correct by punishment or discipline', 'make less strong or intense; soften', 'adapt (a wild plant or unclaimed land', 'overcome the wildness of; make docile and tractable', 'make fit for cultivation, domestic life, and service to humans'], 'Adjective': ['flat and uninspiring', 'very restrained or quiet', 'brought from wildness into a domesticated state', 'very docile']}"
676,tap,tap,"{'Noun': ['the sound made by a gentle blow', 'a gentle blow', 'a faucet for drawing water from a pipe or cask', 'a small metal plate that attaches to the toe or heel of a shoe (as in tap dancing', 'a tool for cutting female (internal', 'a plug for a bunghole in a cask', 'the act of tapping a telephone or telegraph line to get information', 'a light touch or stroke'], 'Verb': ['cut a female screw thread with a tap', 'draw from or dip into to get something', 'strike lightly', 'draw from; make good use of', 'tap a telephone or telegraph wire to get information', 'furnish with a tap or spout, so as to be able to draw liquid from it', 'make light, repeated taps on a surface', 'walk with a tapping sound', 'dance and make rhythmic clicking sounds by means of metal plates nailed to the sole of the dance shoes', 'draw (liquor', 'pierce in order to draw a liquid from', 'make a solicitation or entreaty for something; request urgently or persistently']}"
677,tas,bag,"{'Noun': ['a flexible container with a single opening', 'the quantity of game taken in a particular period (usually by one person', 'a place that the runner must touch before scoring', 'a container used for carrying money and small personal items or accessories (especially by women', 'the quantity that a bag will hold', 'a portable rectangular container for carrying clothes', 'an ugly or ill-tempered woman', 'mammary gland of bovids (cows and sheep and goats', 'an activity that you like or at which you are superior'], 'Verb': ['capture or kill, as in hunting', 'hang loosely, like an empty bag', 'bulge out; form a bulge outward, or be so full as to appear to bulge', 'take unlawfully', 'put into a bag']}"
678,tb,tb,"{'Noun': ['a metallic element of the rare earth group; used in lasers; occurs in apatite and monazite and xenotime and ytterbite', 'infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages', 'a unit of information equal to 1000 gigabits or 10^12 (1,000,000,000,000', 'a unit of information equal to 1000 gigabytes or 10^12 (1,000,000,000,000', 'a unit of information equal to 1024 gibibytes or 2^40 (1,099,511,627,776']}"
679,tbc,TB,"{'Noun': ['a metallic element of the rare earth group; used in lasers; occurs in apatite and monazite and xenotime and ytterbite', 'infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages', 'a unit of information equal to 1000 gigabits or 10^12 (1,000,000,000,000', 'a unit of information equal to 1000 gigabytes or 10^12 (1,000,000,000,000', 'a unit of information equal to 1024 gibibytes or 2^40 (1,099,511,627,776']}"
680,tbs,tbs,"{'Noun': ['a metallic element of the rare earth group; used in lasers; occurs in apatite and monazite and xenotime and ytterbite', 'infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages', 'a unit of information equal to 1000 gigabits or 10^12 (1,000,000,000,000', 'a unit of information equal to 1000 gigabytes or 10^12 (1,000,000,000,000', 'a unit of information equal to 1024 gibibytes or 2^40 (1,099,511,627,776']}"
681,te,to,
682,tea,tea,"{'Noun': ['a beverage made by steeping tea leaves in water', 'a light midafternoon meal of tea and sandwiches or cakes', 'a tropical evergreen shrub or small tree extensively cultivated in e.g. China and Japan and India; source of tea leaves', 'a reception or party at which tea is served', 'dried leaves of the tea shrub; used to make tea']}"
683,tel,tel,
684,tem,tem,
685,ten,ten,"{'Noun': ['the cardinal number that is the sum of nine and one; the base of the decimal system', 'one of four playing cards in a deck with ten pips on the face'], 'Adjective': ['being one more than nine']}"
686,ter,ter,
687,tet,tet,{'Noun': ['the New Year in Vietnam; observed for three days after the first full moon after January 20th']}
688,tgv,due to,
689,the,the,
690,tic,tic,{'Noun': ['a local and habitual twitching especially in the face']}
691,tig,FIG,"{'Noun': ['a diagram or picture illustrating textual material', 'Mediterranean tree widely cultivated for its edible fruit', 'a Libyan terrorist group organized in 1995 and aligned with al-Qaeda; seeks to radicalize the Libyan government; attempted to assassinate Qaddafi', 'fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried']}"
692,tij,tide,"{'Noun': ['the periodic rise and fall of the sea level under the gravitational pull of the moon', 'something that may increase or decrease (like the tides of the sea', 'there are usually two high and two low tides each day'], 'Verb': ['rise or move forward', 'cause to float with the tide', 'be carried with the tide']}"
693,tik,tap,"{'Noun': ['the sound made by a gentle blow', 'a gentle blow', 'a faucet for drawing water from a pipe or cask', 'a small metal plate that attaches to the toe or heel of a shoe (as in tap dancing', 'a tool for cutting female (internal', 'a plug for a bunghole in a cask', 'the act of tapping a telephone or telegraph line to get information', 'a light touch or stroke'], 'Verb': ['cut a female screw thread with a tap', 'draw from or dip into to get something', 'strike lightly', 'draw from; make good use of', 'tap a telephone or telegraph wire to get information', 'furnish with a tap or spout, so as to be able to draw liquid from it', 'make light, repeated taps on a surface', 'walk with a tapping sound', 'dance and make rhythmic clicking sounds by means of metal plates nailed to the sole of the dance shoes', 'draw (liquor', 'pierce in order to draw a liquid from', 'make a solicitation or entreaty for something; request urgently or persistently']}"
694,til,til,
695,tin,tin,"{'Noun': ['a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide', 'a vessel (box, can, pan, etc.', 'metal container for storing dry foods such as tea or flour', 'airtight sealed metal container for food or drink or paint etc.'], 'Verb': ['plate with tin', 'preserve in a can or tin', 'prepare (a metal']}"
696,tip,tip,"{'Noun': ['the extreme end of something; especially something pointed', 'a relatively small amount of money given for services rendered (as by a waiter', 'an indication of potential opportunity', 'a V shape', 'the top or extreme point of something (usually a mountain or hill'], 'Verb': ['cause to tilt', 'mark with a tip', 'give a tip or gratuity to in return for a service, beyond the compensation agreed on', 'cause to topple or tumble by pushing', 'to incline or bend from a vertical position', ""walk on one's toes"", 'strike lightly', 'give insider information or advise to', 'remove the tip from']}"
697,tja,well,"{'Noun': ['a deep hole or shaft dug or drilled to obtain water or oil or gas or brine', 'a cavity or vessel used to contain liquid', 'an abundant source', 'an open shaft through the floors of a building (as for a stairway', ""an enclosed compartment in a ship or plane for holding something as e.g. fish or a plane's landing gear or for protecting something as e.g. a ship's pumps""], 'Verb': ['come up, as of a liquid'], 'Adjective': ['in good health especially after having suffered illness or injury', 'resulting favorably', 'wise or advantageous and hence advisable'], 'Adverb': ['(often used as a combining form', ""`good' is a nonstandard dialectal variant for `well'"", 'thoroughly or completely; fully; often used as a combining form', 'indicating high probability; in all likelihood', '(used for emphasis or as an intensifier', 'to a suitable or appropriate extent or degree', 'favorably; with approval', 'to a great extent or degree', 'or substantially', 'with great or especially intimate knowledge', 'with prudence or propriety', 'with skill or in a pleasing manner', 'in a manner affording benefit or advantage', 'in financial comfort', 'without unusual distress or resentment; with good humor']}"
698,tl,tl,{'Noun': ['a soft grey malleable metallic element that resembles tin but discolors on exposure to air; it is highly toxic and is used in rodent and insect poisons; occurs in zinc blende and some iron ores']}
699,tod,tod,"{'Noun': ['a unit of weight for wool equal to about 28 pounds'], 'Adjective': ['alone and on your own']}"
700,toe,to,
701,tof,cool,"{'Noun': ['the quality of being at a refreshingly low temperature', 'great coolness and composure under strain'], 'Verb': ['make cool or cooler', 'loose heat', 'lose intensity'], 'Adjective': ['neither warm nor very cold; giving relief from heat', 'marked by calm self-control (especially in trying circumstances', 'inducing the impression of coolness; used especially of greens and blues and violets when referring to color', 'psychologically cool and unenthusiastic; unfriendly or unresponsive or showing dislike', 'being satisfactory or in satisfactory condition', 'used of a quantity or amount (especially of money', 'fashionable and attractive at the time; often skilled or socially adept']}"
702,tok,tok,
703,tol,toll,"{'Noun': ['a fee levied for the use of roads or bridges (used for maintenance', 'value measured by what must be given or done or undergone to obtain something', 'the sound of a bell being struck'], 'Verb': ['ring slowly', 'charge a fee for using']}"
704,ton,tons,"{'Noun': ['a United States unit of weight equivalent to 2000 pounds', 'a British unit of weight equivalent to 2240 pounds', 'a large number or amount']}"
705,top,top,"{'Noun': ['the upper part of anything', 'the highest or uppermost side of anything', 'the top or extreme point of something (usually a mountain or hill', 'the first half of an inning; while the visiting team is at bat', 'the highest level or degree attainable; the highest stage of development', 'the greatest possible intensity', 'platform surrounding the head of a lower mast', ""a conical child's plaything tapering to a steel point on which it can be made to spin"", 'covering for a hole (especially a hole in the top of a container', 'a garment (especially for women', 'a canvas tent to house the audience at a circus performance'], 'Verb': ['be superior or better than some standard', 'pass by, over, or under without making contact', 'be at the top of or constitute the top or highest point', 'be ahead of others; be the first', 'provide with a top or finish the top (of a structure', 'reach or ascend the top of', 'strike (the top part of a ball in golf, baseball, or pool', 'cut the top off', 'be the culminating event', 'finish up or conclude'], 'Adjective': ['situated at the top or highest position']}"
706,tor,tor,"{'Noun': ['a prominent rock or pile of rocks on a hill', 'a high rocky hill']}"
707,tot,until,
708,tuk,tuk,
709,tut,tut,"{'Verb': [""utter `tsk,' `tut,' or `tut-tut,' as in disapproval""]}"
710,tv,TV,"{'Noun': ['broadcasting visual images of stationary or moving objects', 'an electronic device that receives television signals and displays them on a screen']}"
711,typ,typ,
712,té,to,
713,ufo,ufo,{'Noun': ['an (apparently']}
714,ui,onion,"{'Noun': ['the bulb of an onion plant', 'bulbous plant having hollow leaves cultivated worldwide for its rounded edible bulb', 'an aromatic flavorful vegetable']}"
715,uil,owl,{'Noun': ['nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes']}
716,uit,from,
717,uk,uk,"{'Noun': [""a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom""]}"
718,ups,ups,{'Verb': []}
719,ure,hour,"{'Noun': ['a period of time equal to 1/24th of a day', 'clock time', 'a special and memorable period', 'distance measured by the time taken to cover it']}"
720,urn,urn,"{'Noun': ['a large vase that usually has a pedestal or feet', 'a large pot for making coffee or tea']}"
721,uso,uso,
722,uur,hour,"{'Noun': ['a period of time equal to 1/24th of a day', 'clock time', 'a special and memorable period', 'distance measured by the time taken to cover it']}"
723,uv,uv,{'Noun': ['radiation lying in the ultraviolet range; wave lengths shorter than light but longer than X rays']}
724,uw,your,
725,uwe,yours,
726,uzi,uzi,{'Noun': ['a type of submachine gun that is designed and manufactured in Israel']}
727,va,va,"{'Noun': ['a state in the eastern United States; one of the original 13 colonies; one of the Confederate States in the American Civil War', 'the United States federal department responsible for the interests of military veterans; created in 1989']}"
728,vak,field,"{'Noun': ['a piece of land cleared of trees and usually enclosed', 'a region where a battle is being (or has been', 'somewhere (away from a studio or office or library or laboratory', 'a branch of knowledge', 'the space around a radiating body within which its electromagnetic oscillations can exert force on another similar body not in contact with it', 'a particular kind of commercial enterprise', 'a particular environment or walk of life', 'a piece of land prepared for playing a game', 'extensive tract of level open land', '(mathematics', 'a region in which active military operations are in progress', 'all of the horses in a particular horse race', 'all the competitors in a particular contest or sporting event', 'a geographic region (land or sea', '(computer science', 'the area that is visible (as through an optical instrument', 'a place where planes take off and land'], 'Verb': ['catch or pick up (balls', 'play as a fielder', 'answer adequately or successfully', 'select (a team or individual player']}"
729,val,fall,"{'Noun': ['the season when the leaves fall from the trees', 'a sudden drop from an upright position', 'the lapse of mankind into sinfulness because of the sin of Adam and Eve', 'a downward slope or bend', 'a lapse into sin; a loss of innocence or of chastity', 'a sudden decline in strength or number or importance', 'a movement downward', 'the act of surrendering (usually under agreed conditions', 'the time of day immediately following sunset', ""when a wrestler's shoulders are forced to the mat"", 'a free and rapid descent by the force of gravity', 'a sudden sharp decrease in some quantity'], 'Verb': ['descend in free fall under the influence of gravity', 'move downward and lower, but not necessarily all the way', 'pass suddenly and passively into a state of body or mind', 'come under, be classified or included', 'fall from clouds', 'suffer defeat, failure, or ruin', 'die, as in battle or in a hunt', 'touch or seem as if touching visually or audibly', 'be captured', 'occur at a specified time or place', 'decrease in size, extent, or range', 'yield to temptation or sin', 'lose office or power', 'to be given by assignment or distribution', 'move in a specified direction', 'be due', ""lose one's chastity"", 'to be given by right or inheritance', 'come into the possession of', 'fall to somebody by assignment or lot', 'be inherited by', 'slope downward', 'lose an upright position suddenly', 'drop oneself to a lower or less erect position', 'fall or flow in a certain way', 'assume a disappointed or sad expression', 'be cast down', 'come out; issue', 'be born, used chiefly of lambs', 'begin vigorously', 'go as if by falling', 'come as if by falling']}"
730,van,from,
731,vat,barrel,"{'Noun': ['a tube through which a bullet travels when a gun is fired', 'a cylindrical container that holds liquids', 'a bulging cylindrical shape; hollow with flat ends', 'the quantity that a barrel (of any size', 'any of various units of capacity'], 'Verb': ['put in barrels']}"
732,vee,cattle,{'Noun': ['domesticated bovine animals as a group regardless of sex or age']}
733,vel,sheet,"{'Noun': ['any broad thin expanse or surface', 'paper used for writing or printing', 'bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs', '(mathematics', 'newspaper with half-size pages', 'a flat artifact that is thin relative to its length and width', '(nautical', 'rope or chain', 'a large piece of fabric (usually canvas fabric'], 'Verb': ['come down as if in sheets', 'cover with a sheet, as if by wrapping']}"
734,ven,ven,
735,ver,far,"{'Noun': ['a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again'], 'Adjective': ['located at a great distance in time or space or degree', 'being of a considerable distance or length', 'being the animal or vehicle on the right or being on the right side of an animal or vehicle', 'beyond a norm in opinion or actions'], 'Adverb': ['to a considerable degree; very much', 'at or to or from a great distance in space', 'at or to a certain point or degree', 'remote in time', 'to an advanced stage or point']}"
736,vet,Fat,"{'Noun': ['a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides', 'a kind of body tissue containing stored fat that serves as a source of energy; it also cushions and insulates vital organs', 'excess bodily weight'], 'Verb': ['make fat or plump'], 'Adjective': ['having an (over', 'having a relatively large diameter', 'containing or composed of fat', 'lucrative', 'marked by great fruitfulness']}"
737,via,through,"{'Adjective': ['having finished or arrived at completion', '(of a route or journey etc.'], 'Adverb': ['from beginning to end', 'over the whole distance', 'to completion', 'in diameter', 'throughout the entire extent']}"
738,vil,vil,
739,vin,fin,"{'Noun': ['the cardinal number that is the sum of four and one', 'one of a pair of decorations projecting above the rear fenders of an automobile', 'one of a set of parallel slats in a door or window to admit air and reject rain', 'a shoe for swimming; the paddle-like front is an aid in swimming (especially underwater', 'a stabilizer on a ship that resembles the fin of a fish', 'organ of locomotion and balance in fishes and some other aquatic animals'], 'Verb': ['equip (a car', 'propel oneself through the water in a finning motion', 'show the fins above the water while swimming']}"
740,vip,vip,{'Noun': ['an important or influential (and often overbearing']}
741,vis,fish,"{'Noun': ['any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills', 'the flesh of fish used as food', '(astrology', 'the twelfth sign of the zodiac; the sun is in this sign from about February 19 to March 20'], 'Verb': ['seek indirectly', 'catch or try to catch fish or shellfish']}"
742,vla,custard,{'Noun': ['sweetened mixture of milk and eggs baked or boiled or frozen']}
743,vlo,flea,{'Noun': ['any wingless bloodsucking parasitic insect noted for ability to leap']}
